label,features
6,IN  NNS 
6, VBG NNS 
6, JJ NNS 
5,AB NN  IN
5,IN  IN
6,CC   .
6, DT NN 
4,"POS JJ  ,"
6,CC   VBZ
5, PP$  TO
1,DT JJ  IN
6,IN  NNS 
6,IN  NNS 
6,IN  NNS 
6,VBN   TO
6,IN  NNS 
1, JJ  IN
6,JJR NP NNS 
1, JJ  IN
6, JJ NNS 
6,JJ NNS NN 
6, JJR NNS 
3,JJ NN (
1,JJ JJ  IN
5,VBG   IN
1,DT JJ  IN
5,AB NN  CC
6, DT NNS PP
6,JJ JJ NNS 
6,AB JJ NN JJ
6,IN  NN NN
6,IN  NN NN
6, DT NN 
6, JJ NNS 
6,IN  NNS 
1, VBG  IN
6,IN  NNS 
6, DT  IN
4,DT JJ  IN
4,DT JJ  IN
6,NN VBG NNS 
1, NN  VBD
1,JJS NN  VBD
6,CC  NN 
6,NN POS NN 
1, PP$  IN
5,AB NN  IN
3," JJ ,"
6,VBD  NNS 
6,IN  NNS 
5,"NP NN ,"
6,IN  NNS 
6, JJ NNS 
6,JJ JJ NNS 
4,POS JJS ``
1, PP$  IN
6, JJ NNS 
3," JJ ,"
1, NN  CC
6, JJ NNS 
6, JJ NNS 
6, NN NNS 
5,VBZ  IN
6,IN  NN 
6, JJR NNS 
6,VB  NNS 
6,DT JJ NN 
1," JJ  ,"
1,DT JJ  IN
6, JJR NNS 
5,"JJ NN ,"
6,VBD   TO
5,CC   IN
5, JJ  IN
5, NN IN
6, PP$ NN 
6, DT  
6,NN JJ NN 
6,NN JJ NN 
6,   IN
6,IN   NNS
1, NN  IN
1,``   VBZ
6,RP  NNS 
6,VBP   RB
4,DT JJ IN
5,IN  IN
1, VBG  IN
1, JJ  IN
6,VBP   RB
6,NP VBZ NNS 
6,IN  NN NNS
6, JJ NNS 
6,JJR NP NNS 
6,WRB  NNS 
6, NP NNS 
6,JJ JJ NNS 
6, NP NNS 
6,NP POS NN NNS
6,CC  NN NNS
6, DT NN NNS
6, DT NN NN
6,VBG  NN NNS
6, DT NN NNS
6,NP POS NN NNS
6,NP POS NN NNS
1,VBG   IN
1,JJ JJ  IN
6,NP VBZ NNS 
5," NN ,"
5," NN ,"
6, DT NN NNS
6,IN  NNS 
3,IN  IN
5,NN JJ  IN
6, DT NN 
5,AB NN  IN
5, NN  CC
5,AB AB  IN
1,''   IN
5,VBZ  IN
5,VBZ  IN
3, JJ VBP
6,VB  NNS 
6,IN  JJ NNS
6,VBD  NNS 
6,IN  NNS 
6, JJR NNS 
1, PP$  IN
6,JJR JJ NNS 
1,DT VBG  IN
6, JJR NNS 
1, DT  IN
5, PP$  .
5,NP NN .
1,"NN   ,"
6,IN  NNS 
6,WRB  NNS 
6, JJ NN NNS
1, NN  .
6,NN JJ NN 
6, JJ NNS 
6,  NN AB
6, DT NN 
6,POS JJ NNS 
1, PP$  IN
1,NN JJR  IN
6,VBZ  NNS 
6,VBD  NNS JJ
3," JJ ,"
1,RB JJ  IN
1, NN  IN
4,DT JJ  TO
1,"IN   ,"
4,"PP$ JJ ,"
6, DT  VBZ
2,IN   TO
1,CC   RB
1,CC   VBD
6,JJ JJ NNS 
6,VBN  NNS 
6,NN JJ  CC
6, JJR  .
6, PP$ NN 
6, DT NN 
6,IN  NNS 
6, DT NN 
4,PP$ JJ IN
5," DT  ,"
5, NN IN
6,WRB  NNS 
5,VBZ  IN
6,JJ JJ NNS 
6, JJR NNS 
5,AB NN  TO
5,AB NN  IN
6, PP$ NNS 
4, DT  IN
3,"JJ NN ,"
1, DT  :
1,IN   IN
6, JJ NN 
6, DT NN 
6,CC   VBP
6, DT  IN
1,VBN   .
6,DT JJ  NNS
6, JJ NNS 
6,CC  NNS 
3, PP$ IN
6,"IN   ,"
6,"IN   ,"
5,PP$ NN .
6,IN   
6, JJ NNS 
6,VBP  NNS 
6,:  NNS 
6,VBD  NNS 
6,DT NN NNS 
6, JJ NNS 
6, JJ NNS 
6,",  NNS "
5,JJ NN IN
1, JJ  IN
6,JJ NN  VBN
6,VBN   IN
6,CC   IN
5,NN NN  IN
6,VB  NNS 
5,NN VBG  .
5,AB NN  IN
4,DT JJ  MD
1,JJ NN  .
6, JJ NNS 
6,VBP  NNS 
6, DT NNS 
6, JJR  IN
6,JJ NNS NN 
4,DT JJ  .
6,JJ JJ NNS 
2, JJ  IN
1,RB JJ  IN
6,IN  NNS 
6,AB NN NN 
6,WRB  NNS 
4,DT JJS  IN
6,CC  NN 
6, NN  .
5,DT VBG  IN
1,JJ NN  IN
6,DT JJ NN 
6,IN  NNS 
6,WRB  NNS 
6,IN  NNS 
1, JJ  .
1,VBG   .
6, JJ  VBZ
6, JJ NNS 
6,IN  NNS 
6,IN  NNS 
6,IN  NNS 
6, DT NN 
6,AB NN  IN
6,VBP NN NNS 
4,DT JJ  :
4, PP$ IN
6,JJR NP NNS 
6, NP NNS 
6,JJ JJ NNS 
1,JJ NN  IN
1,NNS POS  IN
5,VBZ  IN
6,JJ   TO
6,WRB  NNS 
6,WRB  NNS 
5, NN RP
5,VBZ  VBG
6,   IN
6,",   VBN"
5,VB   IN
5,DT NN  IN
5,DT NN .
4,DT JJ  .
6,IN  NN NNS
1,IN  NP NP
4, PP$  VBZ
3,JJ JJ .
1,VBG   IN
6, JJ NNS 
6, JJ NNS 
6, DT  IN
6, NN NNS 
6, VBG NNS 
6, DT NNS PP
5, WP$ VBP
6,IN  NN 
6,DT JJ NNS 
1, DT  IN
6,VB  NNS 
6, JJ NNS 
6,DT JJ NN 
6, DT NN 
5, PP$  IN
6,JJ JJ NNS 
5,IN  IN
5, NP .
5,IN  IN
1,VB   IN
6,CC   ``
6, JJR NNS 
6, PP$ NN 
6, JJ  
6, DT  NNS
6, JJ  )
6,NNS POS  VBZ
6, DT NN 
6,VB   IN
6, DT NN 
5,VBZ  IN
1,JJ NN  IN
1,DT NN  IN
1, DT  VBZ
5, JJ  CC
5, JJ  VBZ
6, JJ  IN
6,IN   IN
6, JJ  CC
5,DT NN  IN
6, NP NNS 
6,PDT DT  
6,VBG   IN
6,IN   MD
6, DT  
6, DT NN 
5, NN .
1, JJ  IN
6, DT NN NN
6, DT  IN
4, JJ  .
4, PP$  VBZ
1,DT JJ  IN
1, JJ  IN
6, JJR NNS 
6,VBN  NNS 
5, NP VBP
4, NN VBD
4, DT IN
4,DT JJ  IN
1, JJ  IN
4, DT IN
5,DT NN  IN
5,DT NN  IN
6,NN VBG  TO
6,CC   IN
6,IN   IN
6, JJ  JJ
